seq00127	UniRef90_A0A973ST48	52.9	68	30	2	3	68	5	72	1.45e-10	63.9
seq00132	UniRef90_A0A482SPE5	46.9	49	25	1	7	55	8	55	9.52e-06	48.5
seq00150	UniRef90_A0A929KKH9	47.9	71	37	0	7	77	4	74	5.88e-11	66.2
seq00151	UniRef90_A0A1E4FD77	46.4	69	37	0	1	69	64	132	2.85e-12	68.9
seq00159	UniRef90_A0A532CW53	40.4	57	34	0	10	66	10	66	1.07e-04	46.6
seq00167	UniRef90_A0A8R2H3Q4	42.7	75	41	1	1	75	1	73	1.20e-07	54.7
seq00176	UniRef90_A0A259D8J3	45.2	73	39	1	3	75	4	75	2.29e-13	68.6
seq00180	UniRef90_A0A812DH36	59.7	62	16	2	18	75	168	224	1.24e-03	45.8
seq00184	UniRef90_A0A7Y0PBZ4	42.5	80	46	0	1	80	288	367	2.02e-10	65.1
seq00185	UniRef90_A0A3C0PJ44	50.8	63	21	2	9	71	421	473	4.39e-09	60.8
seq00192	UniRef90_UPI0016502139	51.4	72	33	1	5	74	27	98	8.60e-16	75.9
seq00202	UniRef90_A0A166CAE9	51.5	66	30	2	5	68	14	79	5.82e-11	65.9
seq00215	UniRef90_A0A2E7UUS2	59.3	27	11	0	37	63	199	225	4.44e-02	40.8
seq00220	UniRef90_A0A9E9LNA8	44.3	61	29	2	2	57	151	211	2.24e-04	47.4
seq00226	UniRef90_UPI0019576542	51.1	47	18	1	1	47	1	42	2.02e-02	42.0
seq00232	UniRef90_A0A7C7RAC8	41.7	60	34	1	1	59	1	60	6.22e-04	46.2
seq00236	UniRef90_A0A953D021	44.0	75	42	0	4	78	2	76	2.92e-11	65.5
seq00256	UniRef90_A0A970TCS3	60.6	66	26	0	16	81	21	86	2.71e-22	91.3
seq00262	UniRef90_UPI001F02D00D	48.6	74	35	1	2	75	5	75	1.92e-08	56.2
seq00263	UniRef90_A0A177R3K2	48.4	64	30	2	7	68	845	907	1.55e-06	53.5
seq00265	UniRef90_A0A919Y9F1	39.1	69	35	2	2	70	4	65	1.13e-03	45.8
seq00272	UniRef90_UPI0019664ADF	46.4	69	33	3	8	74	139	205	1.26e-05	51.2
seq00277	UniRef90_UPI0006791F45	50.0	78	39	0	2	79	4	81	1.20e-17	83.6
seq00284	UniRef90_UPI0018CB4624	46.3	41	22	0	31	71	32	72	3.49e-04	47.0
seq00285	UniRef90_A0A392LXK6	51.3	39	19	0	30	68	337	375	2.51e-02	41.6
